SID,Year,Lat,Lon,Sr,Mo,Cd,Pb,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,,,,,,,,Core
M-12,May_2016,41.7611,-83.35456,71.403,2.043,0.252,8.919,136.404,17.443,11.29,285.478,14501.591,4.743,12.809,11.671,38.342,,,,,,,,
M-13,May_2016,41.75604167,-83.283429,102.259,1.412,0.557,28.015,112.792,23.645,19.73,375.087,21763.106,6.398,18.374,28.679,71.993,,,,,,,,
M-18,May_2016,41.70681367,-83.25009733,52.797,1.427,1.356,33.079,92.891,35.037,40.67,516.943,30517.096,10.491,38.838,36.404,136.057,,,,,,,,
M-34,May_2016,41.90025733,-83.2208825,23.46,0.532,1.13,26.236,150.577,14.224,32.071,270.128,14756.62,4.616,19.878,21.811,95.226,,,,,,,,
M-43,May_2016,41.82253667,-83.25678133,39.999,0.679,0.824,21.7,103.813,18.114,26.464,248.642,17107.022,6.021,22.343,20.29,91.354,,,,,,,,
M-44,May_2016,41.84543517,-83.26293417,27.858,0.635,0.846,21.274,136.01,17.476,25.652,261.319,16253.323,5.573,20.288,17.772,86.415,,,,,,,,
M-48,May_2016,41.823842,-83.306491,50.706,1.014,0.91,22.454,157.777,24.526,28.317,382.746,21070.316,6.578,22.774,26.482,95.258,,,,,,,,
M-49,May_2016,41.810006,-83.2798435,66.401,1.481,0.871,19.885,96.007,23.376,22.902,491.516,20707.908,6.955,22.653,24.534,83.473,,,,,,,,
M-53,May_2016,41.76036767,-83.21884633,42.316,1.412,1.804,52.882,115.737,39.259,59.539,542.099,34144.69,12.098,48.99,44.207,184.433,,,,,,,,
M-65,May_2016,41.70424033,-83.02408017,39.161,1.281,1.543,50.356,108.295,43.399,58.8,612.289,35734.571,13.068,50.018,43.515,185.771,,,,,,,,
M-67,May_2016,41.74697917,-83.01589117,34.141,1.177,1.651,55.643,143.058,43.442,63.341,591.352,35592.573,13.473,52.309,45.645,196.202,,,,,,,,
M-68,May_2016,41.74869467,-83.053782,34.439,1.173,1.583,53.739,127.007,41.762,60.521,595.873,34961.098,13.393,50.377,42.405,188.976,,,,,,,,
