sample_id,lat,lon,depth,bulk_denisty_2023 ,porosity_2023_from _bd,TP_mg_g,srp_mg_g,weighted_average_tp,weighted_average_srp
WLE 1,41.75515,-83.30386,1,0.417,0.83,0.9371,0.2742,,
WLE 1,41.75515,-83.30386,2,0.57,0.767,0.972,0.2867,,
WLE 1,41.75515,-83.30386,3,0.416,0.83,0.9072,0.3119,,
WLE 1,41.75515,-83.30386,4,0.573,0.766,1.0349,0.3813,,
WLE 1,41.75515,-83.30386,5,0.596,0.757,0.9595,0.4146,,
WLE 13,41.76104,-83.1951,1,0.257,0.895,0.8749,0.2772,0.936399907,0.277814856
WLE 13,41.76104,-83.1951,2,0.275,0.888,0.8602,0.2858,,
WLE 13,41.76104,-83.1951,3,0.392,0.84,0.8697,0.2706,,
WLE 13,41.76104,-83.1951,4,0.383,0.844,0.7891,0.2361,,
WLE 13,41.76104,-83.1951,5,0.476,0.806,0.8101,0.1966,,
WLE 14,41.76451,-83.03421,1,0.28,0.886,0.6781,0.2453,,
WLE 14,41.76451,-83.03421,2,0.319,0.87,0.6503,0.2351,,
WLE 14,41.76451,-83.03421,3,0.369,0.849,0.6573,0.2315,,
WLE 14,41.76451,-83.03421,4,0.383,0.844,0.6561,0.2271,,
WLE 14,41.76451,-83.03421,5,0.231,0.906,0.6363,0.2181,,
WLE 15,41.7664,-82.8844,1,0.195,0.92,0.6529,0.2236,,
WLE 15,41.7664,-82.8844,2,0.299,0.878,0.6478,0.2278,,
WLE 15,41.7664,-82.8844,3,0.316,0.871,0.6662,0.2371,,
WLE 15,41.7664,-82.8844,4,0.333,0.864,0.6727,0.235,,
WLE 15,41.7664,-82.8844,5,0.368,0.85,0.683,0.2293,,
WLE 16,41.673717,-82.94802,1,0.2375,0.903,0.6655,0.23445,,
