station,month,depth (cm),Be-7(dpm/g),Be-7(dpm/cm3),Be-7 (pCi/cm3),Inventory (pCi/cm2),Inventory (dpm/cm2),flux (dpm/cm2/day)
WLE1,April, 0-1,3.57,0.89,0.402,,,
WLE1,April, 1-2,1.13,0.5,0.227,,,
WLE1,April, 2-3,0.13,0.08,0.034,,,
WLE1,April, 3-4,0,0,0,,,
WLE1,April, 4-5,0,0,0,0.664,1.47,0.01911
WLE1,May, 0-1,2.46,0.95,0.426,,,
WLE1,May, 1-2,0.99,0.52,0.236,,,
WLE1,May, 2-3,0.01,0.002,0.003859,,,
WLE1,May, 3-4,0.26,0.14,0.062,,,
WLE1,May, 4-5,,,,0.725,1.61,0.02093
WLE13,May, 0-1,2.302281399,0.547907105,0.247,,,
WLE13,May, 1-2,0,0,0,,,
WLE13,May, 2-3,0,0,0,,,
WLE13,May, 3-4,0.018646859,0.006598416,,,,
WLE13,May, 4-5,0,,,0.247,0.554505521,0.007208572
WLE14,May, 0-1,5.25229925,1.360517266,0.612,,,
WLE14,May, 1-2,4.967152612,1.463509137,0.659,,,
WLE14,May, 2-3,4.267469368,1.456215637,0.655,,,
WLE14,May, 3-4,0,0,0,,,
WLE14,May, 4-5,0.941814202,0.264579913,0.119,2.045,4.544821953,0.059082685
WLE15,May, 0-1,2.310183208,0.415964836,0.187,,,
WLE15,May, 1-2,2.302376588,0.637444668,0.287,,,
WLE15,May, 2-3,0,0,0,,,
WLE15,May, 3-4,0.747997861,0.230516147,0.104,,,
WLE15,May, 4-5,,,,0.578,1.283925651,0.016691033
WLE1,June, 0-1,0.664388989,0.255907038,0.115,,,
WLE1,June, 1-2,0.625652134,0.329938118,0.148,,,
WLE1,June, 2-3,0.514011979,0.197728753,0.089,,,
WLE1,June, 3-4,0,0,0,,,
WLE1,June, 4-5,0,0,0,0.353,0.783573909,0.010186461
WLE13,June, 0-1,1.8670508,0.444329003,0.2,,,
WLE13,June, 1-2,1.607742397,0.408273581,0.184,,,
WLE13,June, 2-3,0.372731167,0.135134448,0.061,,,
WLE13,June, 3-4,0.531660654,0.188134539,0.085,,,
WLE13,June, 4-5,0.27361536,0.120422939,0.054,0.583,1.29629451,0.016851829
WLE14,June, 0-1,1.9,0.49,0.222,,,
WLE14,June, 1-2,3.29,0.97,0.437,,,
WLE14,June, 2-3,2.36,0.81,0.362,,,
WLE14,June, 3-4,0.34,0.12,0.055,,,
WLE14,June, 4-5,0,,0,1.075,2.39,0.03107
WLE15,June, 0-1,2.603706595,0.468815799,0.211,,,
WLE15,June, 1-2,4.802978429,1.329770728,0.598,,,
WLE15,June, 2-3,0.753115314,0.22001418,0.099,,,
WLE15,June, 3-4,0.396456971,0.122179137,0.055,,,
WLE15,June, 4-5,0.429211103,0.146056632,0.066,1.029,2.286836476,0.029728874
