station,month,depth (cm),Be-7(dpm/g),Be-7(dpm/cm3),Be-7 (pCi/cm3),Be-7 (pCi/cm3_old),Inventory (pCi/cm2),Inventory (dpm/cm2),flux (dpm/cm2/day)
WLE1,April,0-1,0,0,0.00000001,0.00000001,,,
WLE1,April, 1-2,1.534013209,0.41341656,0.186037452,0.15,,,
WLE1,April, 2-3,0.841259497,0.26967712,0.121354704,0.1,,,
WLE1,April, 3-4,0.106564758,0.016100441,0.007245198,0.01,,,
WLE1,April, 4-5,0,,,0,0.31,0.699194121,0.009089524
WLE14,April,0-1,1.52582119,0.34091318,0.153410931,0.17,,,
WLE14,April, 1-2,0.555594306,0.158226559,0.071201952,0.06,,,
WLE14,April, 2-3,1.006848354,0.307055613,0.138175026,0.11,,,
WLE14,April, 3-4,1.296049698,0.444505135,0.200027311,0.16,,,
WLE14,April, 4-5,0,0,0,0,0.56,1.250700487,0.016259106
WLE15,April,0-1,2.223646385,0.349699029,0.157364563,0.17,,,
WLE15,April, 1-2,0.893161463,0.254953322,0.114728995,0.09,,,
WLE15,April, 2-3,0,0,0,0,,,
WLE15,April, 3-4,0,0,0,0,,,
WLE15,April, 4-5,,,0,0,0.27,0.604652351,0.007860481
WLE1,June,0-1,5.21114153,1.99889848,0.899504316,0.4,,,
WLE1,June, 1-2,1.545662108,0.962341997,0.433053899,0.15,,,
WLE1,June, 2-3,1.189519833,0.848010341,0.381604654,0.13,,,
WLE1,June, 3-4,0.230625241,0.176149635,0.079267336,0.03,,,
WLE1,June, 4-5,0,0,0,0,1.79,3.985400453,0.051810206
WLE14,June,0-1,3.172691316,0.783285068,0.352478281,0.24,,,
WLE14,June, 1-2,1.39230061,0.384789341,0.173155203,0.14,,,
WLE14,June, 2-3,1.251434895,0.415012456,0.186755605,0.14,,,
WLE14,June, 3-4,0.925443485,0.328211559,0.147695201,0.11,,,
WLE14,June, 4-5,0.499234842,0.189662484,0.085348118,0.07,0.95,2.100960908,0.027312492
WLE15,June,0-1,4.448976067,0.843092538,0.379391642,0.34,,,
WLE15,June, 1-2,2.495590996,0.646756518,0.291040433,0.25,,,
WLE15,June, 2-3,2.515747491,0.73075748,0.328840866,0.28,,,
WLE15,June, 3-4,0.620194595,0.207755426,0.093489942,0.08,,,
WLE15,June, 4-5,0,0,0,0,1.09,2.428361962,0.031568706
WLE1,August,0-1,12.10231377,2.887426207,1.299341793,0.92,,,
WLE1,August, 1-2,5.431968847,2.461315548,1.107591996,0.54,,,
WLE1,August, 2-3,1.413341444,0.785677902,0.353555056,0.16,,,
WLE1,August, 3-4,0.241813708,0.147008709,0.066153919,0.03,,,
WLE1,August, 4-5,0.299004907,0.222199414,0.099989736,0.04,2.93,6.50362778,0.084547161
WLE14,August,0-1,4.948126591,1.235409987,0.555934494,0.38,,,
WLE14,August, 1-2,0.731807553,0.222132774,0.099959748,0.07,,,
WLE14,August, 2-3,0.128416084,0.044917055,0.020212675,0.04,,,
WLE14,August, 3-4,0.340882511,0.117775192,0.052998836,0.06,,,
WLE14,August, 4-5,0.00907836,0.002989477,0.001345264,0,0.73,1.623224485,0.021101918
WLE15,August,0-1,12.51084314,1.98930369,0.89518666,0.95,,,
WLE15,August, 1-2,4.869415221,1.273060266,0.57287712,0.48,,,
WLE15,August, 2-3,2.294127583,0.646544805,0.290945162,0.25,,,
WLE15,August, 3-4,0.455385231,0.153563453,0.069103554,0.06,,,
WLE15,August, 4-5,0.018924962,0.006836894,0.003076602,0,1.83,4.069309108,0.052901018
