Station,Month,Depth,NaCl,NaBD,NaOH,HCl,RP,TP,sediment_g_per_m2,NaCl_per_m2,NaBD_per_m2,NaOH_per_m2,HCl_per_m2,RP_per_m2,TP_per_m2,sediment_srp,srp:tp
WLE1,April,1,0.08714444,0.142332908,0.144007232,0.399170005,0.191435398,0.901276187,2710.690931,215.73,624.41,293.45,934.61,383.22,2451.41,0.37348458,4.14E-01
WLE1,April,2,0.066112245,0.160071379,0.098325485,0.334723196,0.096565455,0.708415032,8228.686312,503.8,1933.27,546.8,3663.79,794.61,7442.27,0.324509109,4.58E-01
WLE1,April,3,0.058980582,0.148539457,0.085438742,0.509247138,0.087278107,0.846144492,6323.242758,357.01,1247.19,343.76,2919.98,551.88,5419.81,0.292958781,3.46E-01
WLE1,April,4,0.054707779,0.126620097,0.103515136,0.513673323,0.093356073,0.860886943,6312.290954,321.33,1344.03,377.72,2762.21,475.82,5281.1,0.284843012,3.31E-01
WLE1,April,5,0.055301913,0.112159343,0.095559474,0.505712602,0.093358327,0.831038776,4849.628517,226.46,874.52,260.19,2112.83,380.65,3854.65,0.26302073,3.16E-01
WLE1,May,1,0.0568,0.0808,0.1366,0.4938,0.1691,0.9371,5730.416562,325.49,463.02,782.77,2829.68,969.01,5369.97,0.2742,2.93E-01
WLE1,May,2,0.0531,0.0713,0.1623,0.5315,0.1538,0.972,4160.795559,220.94,296.66,675.3,2211.46,639.93,4044.29,0.2867,2.95E-01
WLE1,May,3,0.0537,0.0585,0.1997,0.4279,0.1674,0.9072,5957.4856,319.92,348.51,1189.71,2549.21,997.28,5404.63,0.3119,3.44E-01
WLE1,May,4,0.0542,0.0714,0.2557,0.4954,0.1583,1.0349,4166.195008,225.81,297.47,1065.3,2063.93,659.51,4311.6,0.3813,3.68E-01
WLE1,May,5,0.0596,0.0843,0.2707,0.4041,0.1409,0.9595,5703.99783,339.96,480.85,1544.07,2304.99,803.69,5472.99,0.4146,4.32E-01
WLE13,May,1,0.0584,0.0887,0.1301,0.3981,0.1996,0.8749,4760.455798,278.01,422.25,619.34,1895.14,950.19,4164.92,0.2772,3.17E-01
WLE13,May,2,0.0633,0.0967,0.1258,0.3688,0.2056,0.8602,3827.487687,242.28,370.12,481.5,1411.58,786.93,3292.4,0.2858,3.32E-01
WLE13,May,3,0.0666,0.0813,0.1227,0.396,0.2029,0.8697,3921.481342,261.17,318.82,481.17,1552.91,795.67,3410.51,0.2706,3.11E-01
WLE13,May,4,0.0522,0.066,0.1179,0.3806,0.1724,0.7891,2746.721346,143.38,181.28,323.84,1045.4,473.53,2167.44,0.2361,2.99E-01
WLE13,May,5,0.0518,,0.1448,0.3989,0.2146,0.8101,2574.117205,133.34,0,372.73,1026.82,552.41,2085.29,0.1966,2.43E-01
WLE14,May,1,0.0312,0.1468,0.0673,0.3118,0.121,0.6781,2801.782286,87.42,411.3,188.56,873.6,339.02,1899.89,0.2453,3.62E-01
