Date,Station,Avg_665,Std_665,insitu_spm,rep_avg
45566,CLE1a,0.003903901,0.000152465,3.458333,0.00413573
45566,CLE6a,0.003849227,0.0000194,4.041667,0.003911053
'21-Jun-2023 12:25:22',DR1,0.005815659,0.000289571,6.2,0.005815659
'23-May-2023 12:42:16',DR1,0.009390375,0.00018602,7.86,0.009390375
'27-Apr-2023 12:51:03',DR1,0.005993611,0.0000995,2.97,0.005993611
45495,GB13a,0.001054341,0.0000295,1.316667,0.001069848
45495,GB15a,0.001310969,0.0000743,1.516667,0.001256944
45498,GB18a,0.002882195,0.0000963,2.946967,0.0027528
45498,GB19a,0.005739755,0.000181544,16.2,0.005740631
45536,GB20a-1,0.00372398,0.0000236,5.6,0.003782972
45536,GB20b-1,0.003904233,0.000068,5.6,0.003880985
45536,GB21a-1,0.003331777,0.0000447,4.36,0.003287762
45536,GB21b-1,0.003273768,0.0000481,4.36,0.003459279
45498,GB2a,0.007486245,0.000142029,12.4,0.007486245
45498,GB3a,0.006759513,0.0000779,12.15557,0.006761445
45536,GB3b,0.008289953,0.000222246,16.66667,0.008295377
45495,GB4a,0.012625208,0.001559573,20.46667,0.009555946
45498,GB4a,0.006557336,0.000118729,14.86667,0.006615813
45498,GB5a,0.00391863,0.0000792,5.0222,0.003905872
45495,GB6a,0.004557154,0.0000597,5.266667,0.004632759
45498,GB6a,0.004539203,0.000057,7.555567,0.004541602
45536,GB6a,0.003604019,0.000101927,4.133333,0.003576527
45498,GB7a,0.003771401,0.000033,4.733333,0.003827529
45498,GB8a,0.003201049,0.0000889,3.1,0.003241108
45536,GB8a,0.003531683,0.0000974,4.666667,0.003531683
45495,GB9a,0.00281133,0.0000342,3.8,0.002815641
45556,KEW1a,0.000275785,0.0000732,0.191667,0.000275785
45556,KEW2a,0.000285687,0.000027,0.2,0.000285687
45556,KEW3a,0.000189641,0.000107704,0.077778,0.000189641
45556,KEW4a,0.0000287,0.000119414,0.155557,0.00003165
'20-Jun-2023 13:05:21',MR1,0.006268539,0.000164317,30,0.006268539
'22-May-2023 13:44:30',MR1,0.022651302,0.0000755,26.8,0.022651302
'26-Apr-2023 14:17:25',MR1,0.008142668,0.0000875,28.4,0.008142668
45566,PIB1a,0.005532624,0.000403055,2.766667,0.006140023
45566,PIB2a,0.006387103,0.000429456,4.5926,0.006108734
45566,PIB3a,0.003830911,0.000115482,4.851867,0.003770485
45566,PIB4a,0.004248534,0.000162758,4.1111,0.004219015
45566,PIB5a,0.00459882,0.0000743,4.56667,0.004522459
45474,WARM10a,0.001634628,0.0000745,0.655553,0.00161785
45536,WARM10a,0.001755452,0.0000615,0.744443,0.001778259
45474,WARM11a,0.002059785,0.0000603,1.033333,0.002089091
45536,WARM11a,0.002536208,0.0000853,0.6,0.002259757
45474,WARM1a,0.000989662,0.000144355,0.4375,0.000835854
45536,WARM1a,0.00046697,0.0000488,0.42684,0.000432725
45536,WARM5a,0.003436974,0.0000657,0.82051,0.003436974
45474,WARM6a,0.001322661,0.000138826,0.78889,0.001306122
