station,date,month,year,srp_mg_per_l,tp_mg_per_ml,total_spm_g_per_m3,chla_rfu
MR1,20230425,April,2023,0.007,0.1023,28.6,
DR1,20230427,April,2023,0.013,0.0048,2.971,0.15
WLE1,20230425,April,2023,0.052,0.0655,15.933,0.75
WLE4,20230425,April,2023,0.05,0.0583,4.143,0.5
WLE14,20230425,April,2023,0.006,0.0088,5.644,1.08
MR1,20230522,May,2023,0.1085,0.1446,25.933,2.81015873
DR1,20230523,May,2023,0.011,0.0124,7.952,0.191628571
WLE1,20230523,May,2023,0.01,0.0191,11.2,1.109259259
WLE2,20230524,May,2023,0.008,0.0207,8.4,1.82116822
WLE3,20230524,May,2023,0.011,0.0152,4.622,0.54961165
WLE4,20230523,May,2023,0.01,0.0103,3.356,0.131098901
WLE7,20230524,May,2023,,0.0116,4.444,0.237328094
WLE13,20230523,May,2023,,0.0132,3.711,0.28503125
WLE13,20230526,May,2023,0.02,0.0726,51.289,1.43812709
WLE14,20230523,May,2023,,0.0095,3.467,0.087042254
WLE14,20230526,May,2023,0.01,0.0185,14.143,0.226784661
WLE15,20230523,May,2023,0.008,0.0121,3.35,0.17719715
WLE16,20230524,May,2023,0.011,0.0171,6.949,0.237328094
WLE16,20230526,May,2023,0.007,0.0191,13.944,0.617666667
WLE17,20230523,May,2023,,0.0078,3.881,0.06042623
MR1,20230621,June,2023,0.015,0.1251,29.2,20.62993019
DR1,20230620,June,2023,,0.0106,6.033,0.080116618
WLE1,20230621,June,2023,0.014,0.0595,30,6.349703704
WLE2,20230622,June,2023,0.023,0.0374,15.7,0.656612022
WLE3,20230622,June,2023,0.0145,0.029,5.649,0.182166667
WLE7,20230622,June,2023,0.007,0.0186,5.843,0.43502994
WLE13,20230621,June,2023,0.011,0.0347,13.111,2.157926471
WLE14,20230621,June,2023,,0.0197,3.619,0.1675
WLE15,20230621,June,2023,0.0053,0.0157,10.067,0.671556196
WLE16,20230622,June,2023,0.007,0.017,6.417,0.39713881
WLE17,20230621,June,2023,,0.0134,2.867,0.308333333
MR1,4/17/24,April,2024,0.1176,0.3945,125.3333333,
WLE1,4/18/24,April,2024,0.019,0.064,11.52366667,
WLE2,4/25/24,April,2024,,0.0115,9.12,0.225
WLE4,4/18/24,April,2024,0.003666667,0.007,5.032,0.176556291
WLE7,4/25/24,April,2024,0.002,0.006,9.164333333,0.257823009
WLE13,4/18/24,April,2024,,0.0053,4.833333333,
WLE13_25,4/25/24,April,2024,,0,4.495333333,0.082272727
WLE14,4/18/24,April,2024,,0.007,5.6,0.194097497
WLE15,4/18/24,April,2024,0.0015,0.012,7.402666667,0.572992126
WLE16,4/25/24,April,2024,,0.015,9.366666667,0.247655172
WLE17,4/25/24,April,2024,0.001,0.013,4.705,0.221502762
WLE18,4/19/24,April,2024,0.003,0.01,7.333333333,0.855087901
WLE1,5/13/24,May,2024,0.005,0.052,13.86666667,4.559863604
WLE2,5/13/24,May,2024,0.020666667,0.067,23.46666667,1.081399083
WLE3,5/13/24,May,2024,0.007,0.024,3.955333333,0.187846952
WLE7,5/16/24,May,2024,,0.008,3.666666667,0.436371237
WLE13,5/16/24,May,2024,,0.007666667,3.785666667,0.495684932
WLE14,5/16/24,May,2024,0.003,0.005,2.271333333,0.43470437
WLE15,5/16/24,May,2024,,,1.200333333,0.059025822
WLE16,5/16/24,May,2024,0.004,0.006,2.928666667,0.228707965
WLE17,5/16/24,May,2024,,,1.977666667,0.495684932
WLE1,6/12/24,June,2024,0.003,0.016,6.185,1.102142857
WLE2,6/13/24,June,2024,0.003,0.021,11.16666667,2.816836461
WLE3,6/13/24,June,2024,0.01375,0.029,4.1805,0.99020854
WLE4,6/12/24,June,2024,0.005,0.004,1.955666667,0.157412224
WLE7,6/13/24,June,2024,0.003,0.015,9.303333333,3.08217497
WLE13,6/12/24,June,2024,0.007,0.003,0.976333333,0.137595238
WLE14,6/12/24,June,2024,,0.003,2.613333333,0.281593476
WLE15,6/12/24,June,2024,0.004,0.012,2.513,0.313419973
WLE16,6/13/24,June,2024,0.006,0.0095,5,2.054013889
WLE1,8/13/24,August,2024,,0.0465,13.86666667,1.670989346
WLE2,8/14/24,August,2024,,0.0275,9.533333333,1.57352
WLE3,8/14/24,August,2024,0.004,0.026,9.611,2.239847458
WLE7,8/14/24,August,2024,,0.022,7.778,1.313519637
WLE13,8/13/24,August,2024,,0.027,8.966666667,1.689745455
WLE14,8/13/24,August,2024,0.005,0.017,7.133333333,1.882893188
WLE15,8/13/24,August,2024,0.004,0.009,2.916666667,0.493054662
WLE16,8/14/24,August,2024,0.003,0.011,5.476333333,1.341796502
WLE17,8/13/24,August,2024,,0.01,2.381,0.609001623
WLE19,8/14/24,August,2024,0.004,0.023,7.539666667,1.805634441
